row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
412,0,Inactive,,0,25.803761,202.392117,1,1,2,12.03,181.1830497,3.48,0,0.333333333,174,1
421,0,Inactive,,0,4.372828,108.5451445,4,2,2,99.62,108.0435961,-1.184,0,0,52,1
429,0,Inactive,,12,41.17821,490.9041755,8,5,12,185.84,563.1558238,1.076,0,0.173913043,894,1
555,0,Inactive,,12,41.17821,499.6944022,9,6,13,206.07,579.1507385,0.468,0,0.171428571,919,1
613,0,Inactive,,0,27.103382,230.6848619,2,2,4,52.04,210.2095988,2.631,0,0.317073171,240,1
661,0,Inactive,,0,28.586175,218.5992765,2,1,12,35.25,187.1936144,2.956,0,0.289473684,178,1
686,0,Inactive,,0,20.110933,157.9210959,1,1,8,26.02,129.1517496,2.788,0,0.285714286,74,1
687,0,Inactive,,0,20.110933,157.9210959,1,1,8,26.02,129.1517496,2.788,0,0.285714286,74,1
783,10,Inhibitor,10,0,38.922245,296.2889729,1,1,16,12.03,241.2769501,6.532,0,0.307692308,288,1
809,0,Inactive,,0,16.171312,134.3258869,2,2,7,52.04,116.1313485,0.09,0,0.25,74,1
818,0,Inactive,,0,15.738105,123.3291267,1,1,6,26.02,101.1204495,1.752,0,0.272727273,38,1
842,0,Inactive,,6,12.685277,131.694787,1,1,0,12.03,133.0891494,1.38,0,0.142857143,90,1
881,0,Inactive,,0,19.677726,156.3194073,4,4,9,76.1,146.1531466,-2.114,0,0.214285714,122,1
905,0,Inactive,,0,88.724111,921.1008458,18,12,19,319.61,923.4878499,2.068,0,0.224637681,2704,1
931,0,Inactive,,0,6.992449,62.93541486,2,2,3,46.25,61.05276384,-1.275,0,0.181818182,14,1
948,0,Inactive,,0,20.110933,157.9210959,1,1,8,26.02,129.1517496,3.06,0,0.285714286,96,1
950,0,Inactive,,0,12.685277,106.3176108,3,3,6,52.49,105.0789786,-1.594,0,0.222222222,54,1
952,0,Inactive,,0,15.738105,123.3291267,1,1,6,26.02,101.1204495,1.922,0,0.272727273,54,1
956,0,Inactive,,0,12.685277,88.73715741,1,1,4,12.03,73.08914935,0.67,0,0.25,24,1
961,10,Inhibitor,0.0891,0,7.425656,65.14194837,2,2,3,52.04,60.06874826,-1.342,0,0.166666667,14,1
992,0,Inactive,,0,22.730554,191.1533667,2,2,6,52.04,170.1782987,1.443,0,0.294117647,110,1
996,0,Inactive,,0,9.61207,82.43793299,2,2,4,52.04,74.08439832,-0.882,0,0.2,19,1
1079,0,Inactive,,0,13.468449,99.02489232,4,2,4,88.77,125.0146641,-1.678,0,0.142857143,38,1
1106,20,Inhibitor,31.6228,10,27.046554,277.9417419,2,2,9,41.49,295.1339066,3.54,0,0.142857143,345,1
1164,10,Inhibitor,35.4813,10,18.331312,225.9416367,2,2,4,38.05,258.0690539,3.182,0,0.0625,181,1
1175,0,Inactive,,6,25.81814,256.8862313,3,1,5,38.33,269.1182566,3.017,0,0.184210526,218,1
1193,21,Inhibitor,15.8489,6,22.795726,269.5980747,4,2,12,66.56,304.0745332,0.36,0,0.162162162,317,1
1218,0,Inactive,,0,17.924519,140.6251113,1,1,7,26.02,115.1360995,2.491,0,0.28,74,1
1322,40,Inhibitor,28.1838,12,31.077761,365.1570592,5,2,12,94.76,390.1346349,2.182,0,0.1,279,1
1393,0,Inactive,,6,24.467726,277.5696865,7,3,11,118.72,294.1215717,-0.077,0,0.128205128,352,1
1400,0,Inactive,,6,28.716175,360.2043521,10,6,8,138.03,403.1413211,-3.133,0,0.134615385,481,1
1439,0,Inactive,,6,11.65007,174.2063082,3,2,6,63.32,199.0400062,-0.757,0,0.086956522,157,1
1457,88,Inhibitor,0.631,6,41.202245,361.6063274,2,2,17,57.56,337.2439357,6.411,0,0.24137931,582,1
1467,0,Inactive,,6,22.311726,243.3902467,3,1,10,52.32,255.1026065,3.03,0,0.171428571,257,1
1470,0,Inactive,,10,33.705554,335.2543259,4,2,8,83.8,375.1594344,4.215,0,0.183673469,489,1
